web_scraper_order;web_scraper_start_url;container_urls;marque;annee;prix;adresse;proprietaire
1767575629-80;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135862;Hyundai Elantra 2014 Dakar;Année: 2014;25 000 F CFA;Amitié;peezy .
1767575634-81;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/flex-limited/annonce-135869;Ford Flex-limited 2019 Dakar;Année: 2019;55 000 F CFA;Hann Maristes;DIOP .
1767575637-82;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/cruze/annonce-135926;Chevrolet Cruze 2016 Dakar;Année: 2016;25 000 F CFA;Almadies;Moustapha SAMBA
1767575642-83;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135942;Hyundai Tucson 2015 Dakar;Année: 2015;35 000 F CFA;Liberté 2;SEN  BAZAR
1767575646-84;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/corolla/annonce-136001;Toyota Corolla 2010 Dakar;1 km;3 000 000 F CFA;Fann;KONTE  SERVICES
1767575657-85;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135357;Hyundai Elantra 2014 Dakar;Année: 2014;30 000 F CFA;Fann;KONTE  SERVICES
1767575660-86;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/fiat/freemont/annonce-136060;Fiat Freemont 2015 Dakar;Année: 2015;50 000 F CFA;Guédiawaye;Fall .
1767575665-87;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/ml-350/annonce-134992;Mercedes ML 350 2014 Dakar;Année: 2014;40 000 F CFA;Ouakam;LOCA VOITURE  DAKAR
1767575669-88;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-136108;Ford Edge 2014 Dakar;Année: 2014;40 000 F CFA;Ouakam;VPS  SERVICES
1767575673-89;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fiesta/annonce-136149;Ford Fiesta 2014 Dakar;Année: 2014;25 000 F CFA;Grand-Dakar;Feudze  Immo & services
1767575677-90;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chrysler/200s/annonce-136153;Chrysler 200s 2017 Dakar;Année: 2017;35 000 F CFA;VDN;ahmed  cheikhouna
1767575681-91;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-136151;Kia Sportage 2016 Dakar;Année: 2016;30 000 F CFA;Dalifort;Caroline ,
1767575684-92;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/volkswagen/jetta/annonce-136169;Volkswagen Jetta 2014 Dakar;Année: 2014;20 000 F CFA;Yoff;A vos  services
1767575687-93;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-136057;Kia Sportage 2016 Dakar;Année: 2016;30 000 F CFA;Yoff;A vos  services
1767575690-94;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/optima/annonce-135146;Kia Optima 2016 Dakar;Année: 2016;40 000 F CFA;Yoff;Abdia ...
1767575694-95;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/starex-12-places/annonce-136301;Hyundai Starex-12-places 2013 Dakar;Année: 2013;60 000 F CFA;Ouakam;SYLLA BUSINESS  GROUP
1767575698-96;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/skoda/fabia/annonce-136377;Skoda fabia 2016 Dakar;Année: 2016;25 000 F CFA;Hlm;DAKAR MOTORS  PRO-SUARL
1767575702-97;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-136397;Hyundai Sonata 2016 Dakar;Année: 2016;25 000 F CFA;VDN;MODOU  LO
