web_scraper_order;web_scraper_start_url;container_urls;marque;annee;prix;adresse;proprietaire
1767575876-136;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/ds4/annonce-137347;Citroen Ds4 2014 Dakar;Année: 2014;30 000 F CFA;Guédiawaye;unicar UNICAR
1767575881-137;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/minibus/annonce-137402;Ford Minibus 2015 Dakar;Année: 2015;75 000 F CFA;Médina;Kena Impact  Groupes
1767575884-138;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/asx/annonce-137678;Mitsubishi Asx 2014 Dakar;Année: 2014;40 000 F CFA;Ouest Foire;Rent Auto
1767575887-139;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-137868;Kia Sportage 2012 Dakar;Année: 2012;35 000 F CFA;Almadies;Moustapha SAMBA
1767575892-140;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/rogue-sl-awd/annonce-137867;Nissan ROGUE-SL-AWD 2015 Dakar;Année: 2015;35 000 F CFA;Thiès;AlfaBusinessGroup BARRY
1767575896-141;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-138103;Hyundai Elantra 2013 Dakar;Année: 2013;19 500 F CFA;Nord Foire;Mouhamed Diallo
1767575900-142;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/starex-12-places/annonce-138259;Hyundai Starex-12-places 2020 Dakar;Année: 2020;50 000 F CFA;Pikine Ouest;David  Niang
1767575907-143;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-138372;Hyundai Sonata 2014 Dakar;Année: 2014;37 000 F CFA;Parcelles Assainies;DRT Automobile
1767575914-144;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-138371;Hyundai Sonata 2014 Dakar;Année: 2014;35 000 F CFA;Parcelles Assainies;DRT Automobile
1767575921-145;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-138395;Kia Sportage 2015 Dakar;Année: 2015;25 000 F CFA;Almadies;Moustapha SAMBA
1767575930-146;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-138438;Ford Fusion 2014 Dakar;10000 km;30 000 F CFA;Médina;Bakay Samassa
1767575936-147;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/verso/annonce-138493;Toyota Verso 2014 Dakar;Année: 2014;25 000 F CFA;Mermoz Sacré-Coeur;LocAuto Sénégal Location de voiture
1767575939-148;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-138492;Hyundai Elantra 2015 Dakar;Année: 2015;20 000 F CFA;Mermoz Sacré-Coeur;LocAuto Sénégal Location de voiture
1767575942-149;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-138491;Hyundai Elantra 2015 Dakar;Année: 2015;20 000 F CFA;Mermoz Sacré-Coeur;LocAuto Sénégal Location de voiture
1767575946-150;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/rav-4/annonce-138490;Toyota Rav 4 2020 Dakar;Année: 2020;35 000 F CFA;Mermoz Sacré-Coeur;LocAuto Sénégal Location de voiture
1767575950-151;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-138518;Ford Fusion 2015 Dakar;Année: 2015;35 000 F CFA;Cité Keur gorgui;Pape  Cheikh automobile
1767575953-152;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fiesta/annonce-138548;Ford Fiesta 2014 Dakar;Année: 2014;30 000 F CFA;Sangalkam;Medoune Ndiaye
1767575958-153;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-138621;Peugeot 308 2013 Dakar;Année: 2013;30 000 F CFA;Grand-Yoff;Chic Drive
1767575961-154;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/berlingo/annonce-138611;Citroen Berlingo 2014 Dakar;Année: 2014;20 000 F CFA;Médina;Chasseur  Automobile
1767575965-155;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx-5/annonce-139588;Mazda Cx-5 2016 Dakar;Année: 2016;50 000 F CFA;Ouest Foire;Mouhamed  Sene
1767575971-156;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-139552;Ford Fusion 2016 Dakar;Année: 2016;30 000 F CFA;Parcelles Assainies;Gallas  FAYE
1767575976-157;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/avante/annonce-139587;Hyundai Avante 2015 Dakar;Année: 2015;30 000 F CFA;Parcelles Assainies;Mouhamed  Sene
1767575980-158;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-139586;Ford Fusion 2014 Dakar;Année: 2014;30 000 F CFA;Médina;Mouhamed  Sene
1767575985-159;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/jeep/grand-cherokee/annonce-139585;Jeep grand-cherokee 2016 Dakar;60000 km;60 000 F CFA;Cambérène;Mouhamed  Sene
1767575989-160;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-139584;Ford Edge 2017 Dakar;50000 km;45 000 F CFA;Guédiawaye;Mouhamed  Sene
1767575993-161;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/scape/annonce-139745;Ford scape 2013 Dakar;Année: 2013;4 500 000 F CFA;Guédiawaye;TERANGUA  BII
1767575996-162;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-139746;Ford ESCAPE-SE 2013 Dakar;Année: 2013;30 000 F CFA;Guédiawaye;TERANGUA  BII
1767575999-163;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/l200/annonce-139924;Mitsubishi L200 2018 Dakar;Année: 2018;50 000 F CFA;Thiès;AlfaBusinessGroup BARRY
1767576003-164;https://dakar-auto.com/senegal/location-de-voitures-19?&page=1;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/santa-fe/annonce-139923;Hyundai Santa Fe 2017 Dakar;Année: 2017;35 000 F CFA;Thiès;AlfaBusinessGroup BARRY
